Fecha,Hora,Temperatura,Humedad,Lluvia,Luz,Viento
2025-05-20,16:22:56,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:23:02,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:23:07,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:23:12,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:23:17,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:23:22,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:23:27,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:23:32,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:23:37,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:23:42,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:23:47,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:23:52,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:23:57,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:24:02,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:24:07,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:24:12,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:24:17,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:24:22,26.8,59.0,Sin lluvia,Nublado,4
